Date,Day,Stadium,Team,Position,Back_Number,Name,Substitute,Goal,Assist,Shoot,Foul,Yellow_Card,Sending_Off,Corner_Kick,Off-side
2018-01-11,목,쿤산 스포츠 센터,대한민국,GK,1,강현무,,0,0,0,0,0,0,0,0
2018-01-11,목,쿤산 스포츠 센터,대한민국,DF,19,국태정,김문환,0,0,0,1,0,0,0,0
2018-01-11,목,쿤산 스포츠 센터,대한민국,DF,5,황현수,,0,0,1,1,0,0,0,0
2018-01-11,목,쿤산 스포츠 센터,대한민국,DF,22,이상민,,0,0,0,0,0,0,0,0
2018-01-11,목,쿤산 스포츠 센터,대한민국,DF,2,박재우,,0,0,1,0,0,0,1,0
2018-01-11,목,쿤산 스포츠 센터,대한민국,MF,7,김문환,,0,0,0,0,0,0,0,0
2018-01-11,목,쿤산 스포츠 센터,대한민국,MF,11,조영욱,,1,0,1,2,0,0,0,0
2018-01-11,목,쿤산 스포츠 센터,대한민국,MF,6,황기욱,,0,0,0,6,0,0,0,0
2018-01-11,목,쿤산 스포츠 센터,대한민국,MF,10,윤승원,,0,1,1,0,0,0,0,0
2018-01-11,목,쿤산 스포츠 센터,대한민국,MF,8,한승규,최재훈,0,1,0,2,0,0,0,0
2018-01-11,목,쿤산 스포츠 센터,대한민국,MF,15,최재훈,,0,0,0,0,0,0,0,0
2018-01-11,목,쿤산 스포츠 센터,대한민국,MF,17,조재완,장윤호,0,0,0,0,0,0,0,0
2018-01-11,목,쿤산 스포츠 센터,대한민국,MF,16,장윤호,,0,0,1,1,0,0,1,0
2018-01-11,목,쿤산 스포츠 센터,대한민국,FW,9,이근호,,1,0,2,2,0,0,0,1
2018-01-11,목,쿤산 스포츠 센터,베트남,GK,1,부이 티엔 둥,,0,0,0,0,0,0,0,0
2018-01-11,목,쿤산 스포츠 센터,베트남,DF,17,부 반 탄,,0,0,1,0,0,0,0,0
2018-01-11,목,쿤산 스포츠 센터,베트남,DF,4,부이 티엔 둥,,0,0,1,0,0,0,0,0
2018-01-11,목,쿤산 스포츠 센터,베트남,DF,5,도안 반 하우,팜 쑤언 만,0,1,0,1,1,0,0,0
2018-01-11,목,쿤산 스포츠 센터,베트남,DF,21,쩐 딘 쫑,,0,0,0,0,0,0,0,0
2018-01-11,목,쿤산 스포츠 센터,베트남,DF,11,도 주이 만,,0,0,0,2,1,0,0,0
2018-01-11,목,쿤산 스포츠 센터,베트남,MF,2,팜 쑤언 만,,0,0,0,0,0,0,0,0
2018-01-11,목,쿤산 스포츠 센터,베트남,MF,9,응우웬 반 또안,,0,0,0,1,0,0,0,0
2018-01-11,목,쿤산 스포츠 센터,베트남,MF,8,팜 득 후이,판 반 득,0,0,0,0,0,0,0,0
2018-01-11,목,쿤산 스포츠 센터,베트남,MF,14,판 반 득,,0,0,0,1,0,0,0,0
2018-01-11,목,쿤산 스포츠 센터,베트남,MF,6,르엉 쑤언 쯔엉,,0,0,1,2,0,0,0,0
2018-01-11,목,쿤산 스포츠 센터,베트남,MF,19,응우웬 꾸앙 하이,,1,0,1,2,0,0,0,0
2018-01-11,목,쿤산 스포츠 센터,베트남,FW,13,하 득 찐,응우웬 반 또안,0,0,1,4,0,0,0,0
2018-01-11,목,쿤산 스포츠 센터,베트남,FW,10,응우웬 콩 프엉,,0,0,0,1,0,0,0,1
2018-01-14,일,쿤산 스포츠 센터,대한민국,GK,1,강현무,,0,0,0,0,0,0,0,0
2018-01-14,일,쿤산 스포츠 센터,대한민국,DF,19,국태정,,0,0,1,2,0,0,0,0
2018-01-14,일,쿤산 스포츠 센터,대한민국,DF,5,황현수,,0,0,0,1,0,0,0,0
2018-01-14,일,쿤산 스포츠 센터,대한민국,DF,22,이상민,,0,0,0,1,1,0,0,0
2018-01-14,일,쿤산 스포츠 센터,대한민국,DF,2,박재우,,0,0,0,1,0,0,0,0
2018-01-14,일,쿤산 스포츠 센터,대한민국,MF,11,조영욱,,0,0,0,0,0,0,0,0
2018-01-14,일,쿤산 스포츠 센터,대한민국,MF,6,황기욱,,0,0,0,3,0,0,0,0
