Date,Day,Stadium,Team,Position,Back_Number,Name,Substitute,Goal,Assist,Shoot,Foul,Yellow_Card,Sending_Off,Corner_Kick,Off-side
2018-03-01,목,수원 월드컵,수원,GK,21,노동건,,0,0,0,0,0,0,0,0
2018-03-01,목,수원 월드컵,수원,DF,5,조성진,,0,0,0,1,0,0,0,0
2018-03-01,목,수원 월드컵,수원,DF,8,조원희,,0,0,0,1,1,0,0,0
2018-03-01,목,수원 월드컵,수원,DF,15,구자룡,,0,0,0,0,0,0,0,0
2018-03-01,목,수원 월드컵,수원,DF,23,이기제,,1,0,1,0,0,0,0,0
2018-03-01,목,수원 월드컵,수원,MF,4,김은선,조원희,0,0,1,1,0,0,0,0
2018-03-01,목,수원 월드컵,수원,MF,25,최성근,김종우,0,0,0,2,0,0,0,0
2018-03-01,목,수원 월드컵,수원,MF,12,크리스토밤,,0,0,0,1,0,0,0,0
2018-03-01,목,수원 월드컵,수원,MF,30,윤용호,,0,0,1,4,0,0,0,0
2018-03-01,목,수원 월드컵,수원,MF,26,염기훈,,0,1,1,2,0,0,3,0
2018-03-01,목,수원 월드컵,수원,MF,11,임상협,,0,0,0,0,0,0,1,0
2018-03-01,목,수원 월드컵,수원,MF,17,김종우,,0,0,2,0,0,0,0,0
2018-03-01,목,수원 월드컵,수원,MF,7,바그닝요,임상협,0,0,1,1,0,0,0,1
2018-03-01,목,수원 월드컵,수원,FW,10,데얀,,0,0,3,1,0,0,0,3
2018-03-01,목,수원 월드컵,전남,GK,20,이호승,,0,0,0,0,0,0,0,0
2018-03-01,목,수원 월드컵,전남,DF,27,이유현,,0,0,1,1,0,0,0,0
2018-03-01,목,수원 월드컵,전남,DF,13,이슬찬,,0,0,1,0,0,0,0,0
2018-03-01,목,수원 월드컵,전남,DF,25,박대한,이유현,0,0,1,0,0,0,0,0
2018-03-01,목,수원 월드컵,전남,DF,3,가솔현,,0,0,1,0,0,0,0,0
2018-03-01,목,수원 월드컵,전남,DF,22,최재현,,1,0,1,1,0,0,0,0
2018-03-01,목,수원 월드컵,전남,MF,16,한찬희,,0,0,1,3,0,0,3,0
2018-03-01,목,수원 월드컵,전남,MF,23,양준아,,0,0,2,1,0,0,0,0
2018-03-01,목,수원 월드컵,전남,MF,8,유고비치,,0,0,0,3,0,0,0,0
2018-03-01,목,수원 월드컵,전남,FW,7,박준태,,0,0,3,2,0,0,0,1
2018-03-01,목,수원 월드컵,전남,FW,18,김경민,,0,0,0,0,0,0,0,0
2018-03-01,목,수원 월드컵,전남,FW,11,완델손,,1,1,3,2,0,0,2,0
2018-03-01,목,수원 월드컵,전남,FW,9,하태균,김경민,0,0,1,2,0,0,0,0
2018-03-01,목,전주 월드컵,전북,GK,31,송범근,,0,0,0,0,0,0,0,0
2018-03-01,목,전주 월드컵,전북,DF,26,홍정호,,0,0,0,3,0,0,0,0
2018-03-01,목,전주 월드컵,전북,DF,22,김진수,,0,0,0,1,0,0,0,0
2018-03-01,목,전주 월드컵,전북,DF,25,최철순,,0,0,0,0,0,0,0,0
2018-03-01,목,전주 월드컵,전북,DF,3,김민재,,0,0,0,0,0,0,0,0
2018-03-01,목,전주 월드컵,전북,MF,7,한교원,,1,0,2,0,0,0,0,1
2018-03-01,목,전주 월드컵,전북,MF,17,이재성,,0,1,2,2,0,0,2,0
2018-03-01,목,전주 월드컵,전북,MF,4,신형민,,0,0,1,1,0,0,0,0
2018-03-01,목,전주 월드컵,전북,MF,28,손준호,티아고,0,0,1,3,0,0,0,0
2018-03-01,목,전주 월드컵,전북,FW,9,김신욱,,0,0,0,2,0,0,0,1
2018-03-01,목,전주 월드컵,전북,FW,11,티아고,,0,0,2,0,0,0,0,0
2018-03-01,목,전주 월드컵,전북,FW,20,이동국,,1,1,2,1,0,0,0,0
2018-03-01,목,전주 월드컵,전북,FW,10,로페즈,한교원,0,0,4,2,0,0,0,0
2018-03-01,목,전주 월드컵,전북,FW,32,아드리아노,이동국,0,0,1,2,0,0,0,3
2018-03-01,목,전주 월드컵,울산,GK,1,김용대,,0,0,0,0,0,0,0,0
2018-03-01,목,전주 월드컵,울산,DF,22,정동호,,0,0,1,1,0,0,0,0
2018-03-01,목,전주 월드컵,울산,DF,4,강민수,,0,0,0,1,0,0,0,0
2018-03-01,목,전주 월드컵,울산,DF,13,이명재,,0,0,1,1,0,0,2,0
2018-03-01,목,전주 월드컵,울산,DF,40,리차드,,0,0,0,1,0,0,0,0
2018-03-01,목,전주 월드컵,울산,DF,33,박주호,이영재,0,0,0,2,0,0,0,0
2018-03-01,목,전주 월드컵,울산,MF,6,정재용,,0,0,1,0,0,0,0,0
2018-03-01,목,전주 월드컵,울산,MF,32,이영재,,0,0,0,0,0,0,1,0
2018-03-01,목,전주 월드컵,울산,MF,34,박용우,,0,0,0,0,0,0,0,0
2018-03-01,목,전주 월드컵,울산,MF,9,오르샤,,0,0,2,0,0,0,0,1
2018-03-01,목,전주 월드컵,울산,FW,30,주니오,,0,0,3,2,0,0,0,0
2018-03-01,목,전주 월드컵,울산,FW,11,황일수,김인성,0,0,1,3,0,0,0,0
2018-03-01,목,전주 월드컵,울산,FW,7,김인성,,0,0,0,0,0,0,0,0
2018-03-01,목,전주 월드컵,울산,FW,39,오세훈,주니오,0,0,0,3,0,0,0,0
2018-03-01,목,제주 월드컵,제주,GK,21,이창근,,0,0,0,0,0,0,0,0
2018-03-01,목,제주 월드컵,제주,DF,20,조용형,,0,0,0,1,0,0,0,0
2018-03-01,목,제주 월드컵,제주,DF,6,박진포,,0,0,0,0,0,0,0,0
2018-03-01,목,제주 월드컵,제주,DF,37,김원일,,0,0,2,0,0,0,0,0
2018-03-01,목,제주 월드컵,제주,DF,5,권한진,,0,0,0,3,1,0,0,0
2018-03-01,목,제주 월드컵,제주,DF,22,김수범,,0,0,2,0,0,0,0,0
2018-03-01,목,제주 월드컵,제주,MF,14,이창민,,0,0,2,0,0,0,0,0
2018-03-01,목,제주 월드컵,제주,MF,7,권순형,,0,0,3,2,0,0,3,0
2018-03-01,목,제주 월드컵,제주,MF,16,이동수,,0,0,0,0,0,0,0,0
2018-03-01,목,제주 월드컵,제주,MF,47,이은범,진성욱,0,0,0,2,0,0,0,0
2018-03-01,목,제주 월드컵,제주,MF,40,이찬동,류승우,0,0,0,1,0,0,0,0
2018-03-01,목,제주 월드컵,제주,MF,17,류승우,,0,0,2,0,0,0,0,0
2018-03-01,목,제주 월드컵,제주,FW,10,마그노,이동수,0,0,0,3,0,0,0,0
2018-03-01,목,제주 월드컵,제주,FW,9,진성욱,,0,0,1,1,1,0,0,0
2018-03-01,목,제주 월드컵,서울,GK,21,양한빈,,0,0,0,0,0,0,0,0
2018-03-01,목,제주 월드컵,서울,DF,19,심상민,,0,0,0,2,0,0,0,0
2018-03-01,목,제주 월드컵,서울,DF,17,신광훈,,0,0,1,1,0,0,0,0
2018-03-01,목,제주 월드컵,서울,DF,2,황현수,,0,0,0,1,0,0,0,0
2018-03-01,목,제주 월드컵,서울,DF,3,이웅희,,0,0,0,0,0,0,0,0
2018-03-01,목,제주 월드컵,서울,MF,13,고요한,윤승원,0,0,0,2,0,0,0,1
2018-03-01,목,제주 월드컵,서울,MF,8,신진호,,0,0,2,4,0,0,4,0
2018-03-01,목,제주 월드컵,서울,MF,22,윤승원,,0,0,0,1,0,0,0,0
2018-03-01,목,제주 월드컵,서울,MF,6,김성준,,0,0,0,3,0,0,0,0
2018-03-01,목,제주 월드컵,서울,MF,24,정현철,,0,0,1,2,0,0,0,0
2018-03-01,목,제주 월드컵,서울,FW,10,박주영,박희성,0,0,4,1,0,0,0,0
2018-03-01,목,제주 월드컵,서울,FW,32,조영욱,,0,0,0,0,0,0,0,0
2018-03-01,목,제주 월드컵,서울,FW,29,박희성,,0,0,0,1,0,0,0,0
2018-03-01,목,제주 월드컵,서울,FW,9,안델손,조영욱,0,0,3,0,0,0,0,1
2018-03-03,토,포항 스틸야드,포항,GK,31,강현무,,0,0,0,0,0,0,0,0
2018-03-03,토,포항 스틸야드,포항,DF,3,김광석,,0,0,1,0,0,0,0,0
2018-03-03,토,포항 스틸야드,포항,DF,5,하창래,,0,0,0,4,0,0,0,0
2018-03-03,토,포항 스틸야드,포항,DF,13,권완규,,0,1,0,2,1,0,0,0
2018-03-03,토,포항 스틸야드,포항,DF,6,채프만,,0,1,0,1,1,0,0,0
2018-03-03,토,포항 스틸야드,포항,MF,14,정원진,,0,0,0,1,1,0,1,0
2018-03-03,토,포항 스틸야드,포항,FW,11,이광혁,제테르손,0,0,1,3,1,0,2,0
2018-03-03,토,포항 스틸야드,포항,FW,10,레오가말류,이근호,2,0,2,2,0,0,0,1
2018-03-03,토,포항 스틸야드,포항,FW,7,제테르손,,0,0,0,0,0,0,0,0
2018-03-03,토,포항 스틸야드,포항,FW,18,이근호,,0,0,0,0,0,0,0,0
2018-03-03,토,포항 스틸야드,포항,FW,17,강상우,,0,0,0,2,0,0,0,1
2018-03-03,토,포항 스틸야드,포항,FW,16,송승민,,0,0,0,5,0,0,0,0
2018-03-03,토,포항 스틸야드,포항,FW,12,김승대,,1,0,1,0,0,0,0,0
2018-03-03,토,포항 스틸야드,대구,GK,21,조현우,,0,0,0,0,0,0,0,0
2018-03-03,토,포항 스틸야드,대구,DF,22,정우재,,0,0,0,1,0,0,0,0
2018-03-03,토,포항 스틸야드,대구,DF,6,한희훈,,0,0,0,0,0,0,0,0
2018-03-03,토,포항 스틸야드,대구,DF,30,김진혁,,0,0,0,1,0,0,0,0
2018-03-03,토,포항 스틸야드,대구,DF,3,김우석,,0,0,0,1,0,0,0,0
2018-03-03,토,포항 스틸야드,대구,DF,5,홍정운,,0,0,0,0,1,0,0,0
2018-03-03,토,포항 스틸야드,대구,MF,19,이해웅,,0,0,0,1,0,0,0,0
2018-03-03,토,포항 스틸야드,대구,MF,8,정선호,,0,0,0,0,0,0,1,0
2018-03-03,토,포항 스틸야드,대구,MF,4,고승범,홍승현,0,0,0,2,0,0,0,0
2018-03-03,토,포항 스틸야드,대구,MF,20,황순민,이해웅,0,0,2,2,0,0,1,0
2018-03-03,토,포항 스틸야드,대구,MF,13,홍승현,,0,0,0,1,1,0,0,1
2018-03-03,토,포항 스틸야드,대구,FW,7,전현철,정선호,0,0,1,0,0,0,0,0
2018-03-03,토,포항 스틸야드,대구,FW,10,지안,,0,0,3,2,0,0,1,0
2018-03-03,토,포항 스틸야드,대구,FW,9,카이온,,0,0,1,6,0,0,0,1
2018-03-03,토,춘천 송암,강원,GK,1,김호준,,0,0,0,0,0,0,0,0
2018-03-03,토,춘천 송암,강원,DF,99,김오규,,0,0,0,1,0,0,0,0
2018-03-03,토,춘천 송암,강원,DF,44,맥고완,,0,0,0,0,0,0,0,0
2018-03-03,토,춘천 송암,강원,DF,4,발렌티노스,,0,0,1,0,0,0,0,1
2018-03-03,토,춘천 송암,강원,DF,22,정승용,,0,0,0,1,0,0,1,0
2018-03-03,토,춘천 송암,강원,MF,24,강지훈,,0,0,0,0,0,0,0,0
2018-03-03,토,춘천 송암,강원,MF,8,황진성,맥고완,0,0,2,0,0,0,2,0
2018-03-03,토,춘천 송암,강원,MF,29,이현식,,0,0,0,0,0,0,0,0
2018-03-03,토,춘천 송암,강원,MF,7,정석화,,0,0,0,1,0,0,0,0
2018-03-03,토,춘천 송암,강원,MF,86,김영신,이현식,0,0,0,1,0,0,2,0
2018-03-03,토,춘천 송암,강원,MF,18,김승용,정석화,1,0,2,0,0,0,2,0
2018-03-03,토,춘천 송암,강원,FW,10,디에고,,0,0,2,0,0,0,2,0
2018-03-03,토,춘천 송암,강원,FW,55,제리치,,1,1,3,3,0,0,0,0
2018-03-03,토,춘천 송암,강원,FW,11,이근호,,0,1,0,2,0,0,0,0
2018-03-03,토,춘천 송암,인천,GK,21,이진형,,0,0,0,0,0,0,0,0
2018-03-03,토,춘천 송암,인천,DF,5,강지용,,0,0,0,3,1,0,0,0
2018-03-03,토,춘천 송암,인천,DF,20,부노자,,0,0,0,1,0,0,0,0
2018-03-03,토,춘천 송암,인천,DF,6,최종환,,0,0,0,0,0,0,2,0
2018-03-03,토,춘천 송암,인천,DF,13,김진야,문선민,0,0,0,1,0,0,0,0
2018-03-03,토,춘천 송암,인천,DF,3,김용환,,0,0,0,1,0,0,0,0
2018-03-03,토,춘천 송암,인천,MF,4,한석종,,0,0,2,2,1,0,0,0
2018-03-03,토,춘천 송암,인천,MF,24,이우혁,,0,0,0,2,0,0,0,0
2018-03-03,토,춘천 송암,인천,MF,22,김동석,박용지,0,0,1,1,0,0,0,0
2018-03-03,토,춘천 송암,인천,FW,11,박용지,,0,0,0,0,0,0,0,1
2018-03-03,토,춘천 송암,인천,FW,19,쿠비,송시우,0,0,1,2,0,0,0,1
2018-03-03,토,춘천 송암,인천,FW,27,문선민,,0,0,1,0,0,0,0,0
2018-03-03,토,춘천 송암,인천,FW,9,무고사,,1,0,7,1,0,0,0,0
2018-03-03,토,춘천 송암,인천,FW,7,송시우,,0,0,1,2,0,0,0,0
2018-03-04,일,창원 축구센터,경남,GK,31,손정현,,0,0,0,0,0,0,0,0
2018-03-04,일,창원 축구센터,경남,DF,6,최재수,,0,0,0,1,0,0,0,0
2018-03-04,일,창원 축구센터,경남,DF,23,박지수,,0,0,0,0,0,0,0,0
2018-03-04,일,창원 축구센터,경남,DF,12,이재명,,0,0,0,0,0,0,0,0
2018-03-04,일,창원 축구센터,경남,DF,24,김현훈,,0,0,0,0,0,0,0,0
2018-03-04,일,창원 축구센터,경남,DF,17,여성해,,0,0,0,1,0,0,0,0
2018-03-04,일,창원 축구센터,경남,DF,15,우주성,,0,0,2,0,0,0,0,0
2018-03-04,일,창원 축구센터,경남,MF,26,최영준,,0,1,0,0,0,0,0,0
2018-03-04,일,창원 축구센터,경남,MF,18,하성민,,0,0,0,1,0,0,0,0
2018-03-04,일,창원 축구센터,경남,FW,77,네게바,최재수,0,0,0,3,0,0,2,0
2018-03-04,일,창원 축구센터,경남,FW,10,권용현,배기종,0,1,1,4,0,0,0,0
2018-03-04,일,창원 축구센터,경남,FW,22,쿠니모토,박지수,0,0,0,5,0,0,1,0
2018-03-04,일,창원 축구센터,경남,FW,7,배기종,,0,0,0,1,0,0,0,0
2018-03-04,일,창원 축구센터,경남,FW,9,말컹,,3,0,5,4,2,0,0,0
2018-03-04,일,창원 축구센터,상주,GK,31,유상훈,,0,0,0,0,0,0,0,0
2018-03-04,일,창원 축구센터,상주,DF,3,신세계,,0,0,0,1,0,0,0,0
2018-03-04,일,창원 축구센터,상주,DF,25,윤영선,,0,0,0,1,0,0,0,0
2018-03-04,일,창원 축구센터,상주,DF,20,이광선,,0,1,1,0,0,0,0,0
2018-03-04,일,창원 축구센터,상주,DF,26,임채민,,0,0,0,0,0,0,0,0
2018-03-04,일,창원 축구센터,상주,DF,33,홍철,,0,0,1,0,0,0,4,0
2018-03-04,일,창원 축구센터,상주,MF,14,윤빛가람,,0,0,0,0,0,0,0,0
2018-03-04,일,창원 축구센터,상주,MF,8,여름,윤빛가람,0,0,0,2,0,0,0,0
2018-03-04,일,창원 축구센터,상주,MF,11,김태환,,0,0,0,2,1,0,0,0
2018-03-04,일,창원 축구센터,상주,FW,19,윤주태,,0,0,0,0,0,0,2,0
2018-03-04,일,창원 축구센터,상주,FW,29,최진호,윤주태,0,0,1,0,0,0,0,0
2018-03-04,일,창원 축구센터,상주,FW,9,주민규,,1,0,5,1,0,0,0,1
2018-03-04,일,창원 축구센터,상주,FW,10,김호남,김도형,0,0,1,1,0,0,0,0
2018-03-04,일,창원 축구센터,상주,FW,22,김도형,,0,0,0,1,0,0,1,0
2018-03-10,토,대구 스타디움,대구,GK,21,조현우,,0,0,0,0,0,0,0,0
2018-03-10,토,대구 스타디움,대구,DF,22,정우재,,0,0,2,0,0,0,0,0
2018-03-10,토,대구 스타디움,대구,DF,6,한희훈,,0,0,0,0,0,0,0,0
2018-03-10,토,대구 스타디움,대구,DF,30,김진혁,,0,0,0,0,0,0,0,0
2018-03-10,토,대구 스타디움,대구,DF,3,김우석,,0,0,0,1,0,0,0,0
2018-03-10,토,대구 스타디움,대구,DF,5,홍정운,전현철,0,0,0,3,0,0,0,0
2018-03-10,토,대구 스타디움,대구,MF,8,정선호,,0,0,0,2,0,0,3,0
2018-03-10,토,대구 스타디움,대구,MF,26,고재현,김대원,0,0,1,0,0,0,0,0
2018-03-10,토,대구 스타디움,대구,MF,20,황순민,,0,0,0,0,0,0,0,0
2018-03-10,토,대구 스타디움,대구,MF,13,홍승현,정선호,0,0,0,1,0,0,0,0
2018-03-10,토,대구 스타디움,대구,FW,9,카이온,,0,0,2,3,0,0,0,1
2018-03-10,토,대구 스타디움,대구,FW,14,김대원,,0,0,1,1,0,0,0,0
2018-03-10,토,대구 스타디움,대구,FW,7,전현철,,0,0,1,0,0,0,0,0
2018-03-10,토,대구 스타디움,대구,FW,10,지안,,0,0,4,3,0,0,0,0
2018-03-10,토,대구 스타디움,수원,GK,21,노동건,,0,0,0,0,0,0,0,0
2018-03-10,토,대구 스타디움,수원,DF,35,장호익,,0,0,1,1,1,0,0,0
2018-03-10,토,대구 스타디움,수원,DF,5,조성진,,0,0,0,2,0,0,0,0
2018-03-10,토,대구 스타디움,수원,DF,8,조원희,,0,0,0,3,0,0,0,0
2018-03-10,토,대구 스타디움,수원,DF,20,곽광선,조원희,0,0,1,0,0,0,0,0
2018-03-10,토,대구 스타디움,수원,MF,13,박형진,,0,0,1,2,0,0,3,0
2018-03-10,토,대구 스타디움,수원,MF,4,김은선,,0,0,0,3,0,0,0,0
2018-03-10,토,대구 스타디움,수원,MF,11,임상협,,1,0,1,1,0,0,0,1
2018-03-10,토,대구 스타디움,수원,MF,28,유주안,염기훈,0,0,0,0,0,0,0,0
2018-03-10,토,대구 스타디움,수원,MF,77,조지훈,,0,0,0,0,0,0,0,0
2018-03-10,토,대구 스타디움,수원,MF,17,김종우,조지훈,0,0,2,1,0,0,0,0
2018-03-10,토,대구 스타디움,수원,MF,16,이종성,,0,0,0,1,0,0,0,0
2018-03-10,토,대구 스타디움,수원,MF,26,염기훈,,0,0,0,1,0,0,0,0
2018-03-10,토,대구 스타디움,수원,MF,7,바그닝요,,1,0,3,3,0,0,0,1
2018-03-10,토,인천 전용,인천,GK,31,이태희,,0,0,0,0,0,0,0,0
2018-03-10,토,인천 전용,인천,DF,16,이윤표,,0,0,0,0,0,0,0,0
2018-03-10,토,인천 전용,인천,DF,3,김용환,,0,0,0,1,0,0,0,0
2018-03-10,토,인천 전용,인천,DF,6,최종환,,0,0,0,1,0,0,2,0
2018-03-10,토,인천 전용,인천,DF,20,부노자,,0,0,0,1,0,0,0,0
2018-03-10,토,인천 전용,인천,DF,15,김대중,,0,0,0,0,0,0,0,0
2018-03-10,토,인천 전용,인천,MF,10,아길라르,김대중,0,0,0,2,1,0,2,0
2018-03-10,토,인천 전용,인천,MF,17,고슬기,,0,0,0,2,1,0,0,0
2018-03-10,토,인천 전용,인천,MF,4,한석종,,0,1,0,2,0,0,0,0
2018-03-10,토,인천 전용,인천,FW,7,송시우,,0,0,1,1,0,0,0,0
2018-03-10,토,인천 전용,인천,FW,29,김보섭,,0,0,1,1,0,0,0,0
2018-03-10,토,인천 전용,인천,FW,19,쿠비,송시우,0,1,0,4,0,0,0,0
2018-03-10,토,인천 전용,인천,FW,9,무고사,,1,0,6,1,0,0,0,0
2018-03-10,토,인천 전용,인천,FW,27,문선민,김보섭,2,0,2,1,0,0,0,0
2018-03-10,토,인천 전용,전북,GK,21,황병근,,0,0,0,0,0,0,0,0
2018-03-10,토,인천 전용,전북,DF,26,홍정호,,0,0,1,2,1,0,0,0
2018-03-10,토,인천 전용,전북,DF,3,김민재,,0,0,0,1,0,0,0,0
2018-03-10,토,인천 전용,전북,DF,22,김진수,,0,0,0,2,1,0,0,0
2018-03-10,토,인천 전용,전북,DF,25,최철순,,0,0,0,1,0,0,0,0
2018-03-10,토,인천 전용,전북,MF,8,정혁,신형민,0,0,1,6,0,0,2,0
2018-03-10,토,인천 전용,전북,MF,4,신형민,,0,0,0,2,0,0,0,0
2018-03-10,토,인천 전용,전북,MF,7,한교원,이동국,0,0,0,0,0,0,0,0
