Date,Day,Stadium,Team,Position,Back_Number,Name,Substitute,Goal,Assist,Shoot,Foul,Yellow_Card,Sending_Off,Corner_Kick,Off-side
2018-03-03,토,부산 구덕,부산,GK,31,김형근,,0,0,0,0,0,0,0,0
2018-03-03,토,부산 구덕,부산,DF,25,이청웅,,0,0,0,0,0,0,0,0
2018-03-03,토,부산 구덕,부산,DF,3,박준강,,0,0,0,1,0,0,0,0
2018-03-03,토,부산 구덕,부산,DF,4,홍진기,,0,0,0,2,1,0,0,0
2018-03-03,토,부산 구덕,부산,DF,15,김명준,,0,0,0,1,1,0,0,0
2018-03-03,토,부산 구덕,부산,DF,7,김치우,,0,0,1,0,0,0,0,0
2018-03-03,토,부산 구덕,부산,DF,2,정호정,,0,0,0,0,0,0,0,0
2018-03-03,토,부산 구덕,부산,MF,8,이재권,이청웅,0,0,0,1,0,0,0,0
2018-03-03,토,부산 구덕,부산,MF,10,호물로,,0,0,1,4,0,0,1,0
2018-03-03,토,부산 구덕,부산,MF,14,송창호,,0,1,0,1,0,0,0,0
2018-03-03,토,부산 구덕,부산,MF,23,김진규,이규성,1,0,2,2,0,0,1,0
2018-03-03,토,부산 구덕,부산,MF,6,이규성,,0,0,0,0,0,0,0,0
2018-03-03,토,부산 구덕,부산,FW,99,최승인,,0,0,0,2,0,1,0,0
2018-03-03,토,부산 구덕,부산,FW,13,신영준,홍진기,0,0,0,0,0,0,0,1
2018-03-03,토,부산 구덕,성남,GK,1,김동준,,0,0,0,0,0,0,0,0
2018-03-03,토,부산 구덕,성남,DF,26,이다원,,0,0,0,1,0,0,0,0
2018-03-03,토,부산 구덕,성남,DF,20,연제운,,0,0,0,1,0,0,0,0
2018-03-03,토,부산 구덕,성남,DF,14,이학민,,0,0,0,2,0,0,0,0
2018-03-03,토,부산 구덕,성남,DF,22,김재봉,,0,0,1,1,0,0,0,0
2018-03-03,토,부산 구덕,성남,DF,15,이지민,,0,0,0,2,0,1,0,0
2018-03-03,토,부산 구덕,성남,MF,8,주현우,정성민,0,0,0,0,0,0,0,0
2018-03-03,토,부산 구덕,성남,MF,40,무랄랴,이다원,0,0,0,1,0,0,0,0
2018-03-03,토,부산 구덕,성남,MF,30,김동희,,0,0,0,0,0,0,0,0
2018-03-03,토,부산 구덕,성남,MF,6,김정현,,0,0,1,2,0,0,0,0
2018-03-03,토,부산 구덕,성남,MF,7,에델,,1,0,1,1,0,0,0,0
2018-03-03,토,부산 구덕,성남,MF,10,문상윤,김동희,0,0,0,1,0,0,2,0
2018-03-03,토,부산 구덕,성남,FW,9,정성민,,0,0,1,1,1,0,0,0
2018-03-03,토,부산 구덕,성남,FW,11,서보민,,0,0,2,0,0,0,2,0
2018-03-03,토,대전 월드컵,대전,GK,1,김진영,,0,0,0,0,0,0,0,0
2018-03-03,토,대전 월드컵,대전,DF,23,전상훈,,0,1,0,1,1,0,2,0
2018-03-03,토,대전 월드컵,대전,DF,25,고명석,,0,0,0,1,0,0,0,0
2018-03-03,토,대전 월드컵,대전,DF,4,윤준성,,1,0,1,3,0,0,0,0
2018-03-03,토,대전 월드컵,대전,DF,77,백종환,,0,0,0,1,0,0,0,0
2018-03-03,토,대전 월드컵,대전,MF,7,오장은,고민성,0,0,0,2,1,0,0,0
2018-03-03,토,대전 월드컵,대전,MF,8,박수창,,0,0,2,2,0,0,2,0
2018-03-03,토,대전 월드컵,대전,MF,17,고민성,,0,0,0,1,1,0,0,0
2018-03-03,토,대전 월드컵,대전,MF,20,안상현,,0,0,0,0,0,0,0,0
2018-03-03,토,대전 월드컵,대전,FW,11,김승섭,박대훈,0,0,2,0,0,0,0,0
2018-03-03,토,대전 월드컵,대전,FW,14,유해성,,0,0,0,0,0,0,0,1
2018-03-03,토,대전 월드컵,대전,FW,16,박대훈,,0,0,0,1,0,0,0,0
2018-03-03,토,대전 월드컵,대전,FW,91,페드로,,0,0,1,6,0,0,0,1
2018-03-03,토,대전 월드컵,대전,FW,33,김성주,유해성,0,0,1,2,0,0,0,0
2018-03-03,토,대전 월드컵,부천,GK,21,최철원,,0,0,0,0,0,0,0,0
2018-03-03,토,대전 월드컵,부천,DF,22,안태현,,0,1,0,0,0,0,0,0
2018-03-03,토,대전 월드컵,부천,DF,5,임동혁,,0,1,0,1,0,0,0,0
2018-03-03,토,대전 월드컵,부천,DF,2,장순혁,,0,0,0,0,0,0,0,0
2018-03-03,토,대전 월드컵,부천,DF,11,김준엽,,0,0,0,2,0,0,0,0
2018-03-03,토,대전 월드컵,부천,DF,4,박건,장순혁,0,0,0,0,0,0,0,0
2018-03-03,토,대전 월드컵,부천,MF,7,문기한,,0,0,4,1,1,0,8,0
2018-03-03,토,대전 월드컵,부천,MF,10,이현승,,0,0,1,1,0,0,0,0
2018-03-03,토,대전 월드컵,부천,MF,44,황진산,,0,0,0,0,0,0,0,0
2018-03-03,토,대전 월드컵,부천,MF,6,닐손주니어,,0,0,0,2,0,0,0,0
2018-03-03,토,대전 월드컵,부천,FW,9,공민현,,1,0,4,3,0,0,0,1
2018-03-03,토,대전 월드컵,부천,FW,27,이광재,진창수,0,0,1,1,0,0,0,0
2018-03-03,토,대전 월드컵,부천,FW,8,포프,황진산,1,0,5,3,0,0,0,0
2018-03-03,토,대전 월드컵,부천,FW,16,진창수,,0,0,2,0,0,0,0,0
2018-03-03,토,광주 월드컵,광주,GK,21,윤보상,,0,0,0,0,0,0,0,0
2018-03-03,토,광주 월드컵,광주,DF,36,이민기,,0,0,0,0,0,0,0,0
2018-03-03,토,광주 월드컵,광주,DF,5,정준연,,0,0,0,2,0,0,0,0
2018-03-03,토,광주 월드컵,광주,DF,6,안영규,,0,0,0,1,0,0,0,0
2018-03-03,토,광주 월드컵,광주,DF,20,이한도,,0,0,1,3,0,0,0,0
2018-03-03,토,광주 월드컵,광주,MF,8,임민혁,,0,0,0,2,0,0,3,0
2018-03-03,토,광주 월드컵,광주,MF,29,여봉훈,,0,0,0,2,0,0,1,0
2018-03-03,토,광주 월드컵,광주,MF,25,김동현,,0,0,0,1,0,0,0,0
2018-03-03,토,광주 월드컵,광주,FW,11,정영총,김정환,0,0,1,2,0,0,2,0
2018-03-03,토,광주 월드컵,광주,FW,7,지우,,0,0,2,0,0,0,0,0
2018-03-03,토,광주 월드컵,광주,FW,10,나상호,,0,0,0,3,1,0,0,1
2018-03-03,토,광주 월드컵,광주,FW,27,김정환,,0,0,0,1,0,0,0,0
2018-03-03,토,광주 월드컵,안양,GK,1,전수현,,0,0,0,0,0,0,0,0
