Ranking,Team,Played,Points,Won,Drawn,Loss,Goals_For,Goals_Against,Goals_Difference,Assist,Foul
1,전북,35,83,26,5,4,73,29,44,51,513
2,경남,35,61,17,10,8,55,40,15,32,372
3,울산,35,59,16,11,8,55,41,14,35,388
4,포항,35,50,14,8,13,44,44,0,31,397
5,수원,35,49,13,10,12,49,47,2,27,469
6,제주,35,47,12,11,12,39,42,-3,23,411
7,강원,35,43,11,10,14,53,56,-3,35,413
8,대구,35,43,12,7,16,44,55,-11,32,439
9,서울,35,37,8,13,14,37,44,-7,22,518
10,상주,35,36,9,9,17,40,51,-11,25,407
11,인천,35,33,7,12,16,48,66,-18,33,475
12,전남,35,32,8,8,19,39,61,-22,25,395
